Level0	Level1	Level2	IndexCode	Delegate	Range	Help tip
File	Width	N/A	FileWidth	Spinbox	"1,100,000"	Fit in this width including any borders 
File	Height	N/A	FileHeight	Spinbox	"1,100,000"	Fit in this height including any borders
File	Sharpen amount	N/A	FileSharpenAmount	Spinbox	"0,25"	Apply post resizing sharpening only to the image
File	File type	N/A	FileFileType	Combobox	"JPG,PNG,TIFF"	Select the file type to save
File	Compression	N/A	FileCompression	Spinbox	"0,100"	Select the file compression - this only applies to JPG files
File	Colorspace	N/A	FileColorspace	Combobox	"sRGB,Adobe RGB"	Select the file color space - if unclear choose sRGB
File	File location logic	N/A	FileFileLocationLogic	Combobox	"Absolute,Relative"	Select absolute if you know the folder or relative if you want to put in a subfolder of the originating file
File	Folder name	N/A	FileFolderName	Text	N/A	The absolute path or the relative folder name
File	File suffix	N/A	FileFileSuffix	Text	N/A	"Add suffix text to the file name ie 0001.jpg -> 0001_800px.jpg where ""_800px is the suffix added"
File	Overwrite existing files	N/A	FileOverwriteExistingFiles	Checkbox	N/A	Be careful - do not select this unless you are SURE
Image	Style	N/A	ImageStyle	Combobox	N/A	Select a style to be applied to the image - a style is a combination of all the image settings
Image	Light direction	N/A	ImageLightDirection	Dial	N/A	The light direction affects shadows and bevels
Image	Light angle	N/A	ImageLightAngle	Dial	N/A	The light angle affects shadows and bevels
Image	Texture	N/A	ImageTexture	Combobox	N/A	Select a texture to apply or go build your own 
Image	Tint color	N/A	ImageTintColor	Color picker	N/A	Select a color to tint the image
Image	Tint opacity	N/A	ImageTintOpacity	Spinbox	N/A	Set the opacity of the tint
Image	Outside shadow	Opacity	ImageOutsideShadowOpacity	Spinbox	N/A	N/A
Image	Outside shadow	Blend mode	ImageOutsideShadowBlendMode	Combobox	N/A	N/A
Image	Outside shadow	Distance	ImageOutsideShadowDistance	Text	N/A	N/A
Image	Outside shadow	Color	ImageOutsideShadowColor	Color picker	N/A	N/A
Image	Inner shadow	Opacity	ImageInnerShadowOpacity	Spinbox	N/A	N/A
Image	Inner shadow	Blend mode	ImageInnerShadowBlendMode	Combobox	N/A	N/A
Image	Inner shadow	Distance	ImageInnerShadowDistance	Spinbox	N/A	N/A
Image	Inner shadow	Color	ImageInnerShadowColor	Color picker	N/A	N/A
Image	Outer glow	Blend mode	ImageOuterGlowBlendMode	Combobox	N/A	N/A
Image	Outer glow	Opacity	ImageOuterGlowOpacity	Spinbox	N/A	N/A
Image	Outer glow	Fade	ImageOuterGlowFade	Spinbox	N/A	N/A
Image	Outer glow	Distance	ImageOuterGlowDistance	Spinbox	N/A	N/A
Image	Inner glow	Blend mode	ImageInnerGlowBlendMode	Combobox	N/A	N/A
Image	Inner glow	Opacity	ImageInnerGlowOpacity	Spinbox	N/A	N/A
Image	Inner glow	Fade	ImageInnerGlowFade	Spinbox	N/A	N/A
Image	Inner glow	Distance	ImageInnerGlowDistance	Spinbox	N/A	N/A
Image	Bevel	Type	ImageBevelType	Combobox	N/A	N/A
Image	Bevel	Contour	ImageBevelContour	Combobox	N/A	N/A
Image	Bevel	Size	ImageBevelSize	Spinbox	N/A	N/A
Image	Bevel	Softness	ImageBevelSoftness	Spinbox	N/A	N/A
Border	Style	N/A	BorderStyle	Combobox	N/A	Select a style to be applied to the border - a style is a combination of all the image settings
Border	Top	N/A	BorderTop	Spinbox	N/A	N/A
Border	Left	N/A	BorderLeft	Spinbox	N/A	N/A
Border	Right	N/A	BorderRight	Spinbox	N/A	N/A
Border	Bottom	N/A	BorderBottom	Spinbox	N/A	N/A
Border	Outside shadow	Opacity	BorderOutsideShadowOpacity	Spinbox	N/A	N/A
Border	Outside shadow	Blend mode	BorderOutsideShadowBlendMode	Combobox	N/A	N/A
Border	Outside shadow	Distance	BorderOutsideShadowDistance	Text	N/A	N/A
Border	Outside shadow	Color	BorderOutsideShadowColor	Color picker	N/A	N/A
Border	Inner shadow	Opacity	BorderInnerShadowOpacity	Spinbox	N/A	N/A
Border	Inner shadow	Blend mode	BorderInnerShadowBlendMode	Combobox	N/A	N/A
Border	Inner shadow	Distance	BorderInnerShadowDistance	Spinbox	N/A	N/A
Border	Inner shadow	Color	BorderInnerShadowColor	Color picker	N/A	N/A
Border	Outer glow	Blend mode	BorderOuterGlowBlendMode	Combobox	N/A	N/A
Border	Outer glow	Opacity	BorderOuterGlowOpacity	Spinbox	N/A	N/A
Border	Outer glow	Fade	BorderOuterGlowFade	Spinbox	N/A	N/A
Border	Outer glow	Distance	BorderOuterGlowDistance	Spinbox	N/A	N/A
Border	Inner glow	Blend mode	BorderInnerGlowBlendMode	Combobox	N/A	N/A
Border	Inner glow	Opacity	BorderInnerGlowOpacity	Spinbox	N/A	N/A
Border	Inner glow	Fade	BorderInnerGlowFade	Spinbox	N/A	N/A
Border	Inner glow	Distance	BorderInnerGlowDistance	Spinbox	N/A	N/A
Border	Bevel	Type	BorderBevelType	Combobox	N/A	N/A
